Temperature	0.0uM_1	0.0uM_2	
31.83584	0.0	0.0
31.855528	0.0	0.0
31.875217	0.0	0.0
31.894905	0.0	0.0
31.914593	0.0	0.0
31.934282	0.0	0.0
31.95397	0.0	0.0
31.97366	0.0	0.0
31.993347	0.0	0.0
32.013035	0.0	0.0
32.032722	0.0	0.0
32.052414	0.0	0.0
32.0721	0.0	0.0
32.09179	0.0	0.0
32.111477	0.0	0.0
32.131165	0.0	0.0
32.150852	0.0	0.0
32.170544	0.0	0.0
32.19023	0.0	0.0
32.20992	0.0	0.0
32.229607	0.0	0.0
32.249294	0.0	0.0
32.268986	0.0	0.0
32.288673	0.0	0.0
32.30836	0.0	0.0
32.32805	0.0	0.0
32.347736	0.0	0.0
32.367428	0.0	0.0
32.387115	0.0	0.0
32.406803	0.0	0.0
32.42649	0.0	0.0
32.44618	0.0	0.0
32.465866	0.0	0.0
32.485558	0.0	0.0
32.505245	0.0	0.0
32.524933	0.0	0.0
32.54462	0.0	0.0
32.56431	0.0	0.0
32.584	0.0	0.0
32.603687	0.0	0.0
32.623375	0.0	0.0
32.643063	0.0	0.0
32.66275	0.0	0.0
32.68244	0.0	0.0
32.70213	0.0	0.0
32.721817	0.0	0.0
32.741505	0.0	0.0
32.761192	0.0	0.0
32.780884	0.0	0.0
32.80057	0.0	0.0
32.82026	0.0	0.0
32.839947	0.0	0.0
32.859634	0.0	0.0
32.879322	0.0	0.0
32.899014	0.0	0.0
32.9187	0.0	0.0
32.93839	0.0	0.0
32.958076	0.0	0.0
32.977764	0.0	0.0
32.997456	0.0	0.0
33.017143	0.0	0.0
33.03683	0.0	0.0
33.05652	0.0	3.13e-07
33.076206	0.0	1.1e-06
33.095898	0.0	2.35e-06
33.115585	0.0	4.07e-06
33.135273	5.2e-08	6.21e-06
33.15496	3.64e-07	8.87e-06
33.17465	1.04e-06	1.2e-05
33.194336	2.03e-06	1.56e-05
33.214027	3.38e-06	1.96e-05
33.233715	4.99e-06	2.42e-05
33.253403	6.92e-06	2.92e-05
33.27309	9.2e-06	3.46e-05
33.292778	1.18e-05	4.05e-05
33.31247	1.46e-05	4.7e-05
33.332157	1.78e-05	5.38e-05
33.351845	2.12e-05	6.12e-05
33.371532	2.5e-05	6.91e-05
33.39122	2.91e-05	7.74e-05
33.41091	3.34e-05	8.62e-05
33.4306	3.81e-05	9.55e-05
33.450287	4.31e-05	0.000105
33.469975	4.83e-05	0.000116
33.489662	5.39e-05	0.000126
33.50935	5.97e-05	0.000138
33.52904	6.59e-05	0.000149
33.54873	7.24e-05	0.000161
33.568417	7.92e-05	0.000174
33.588104	8.63e-05	0.000187
33.60779	9.37e-05	0.000201
33.627483	0.000101	0.000215
33.64717	0.000109	0.000229
33.66686	0.000118	0.000244
